문항,label
교과서나 책을 읽을 때 글의 중심내용을 정확하게 파악할 수 있다.,의사소통능력
나는 주변 사람들로부터 말을 잘 들어준다는 소리를 자주 듣는다.,의사소통능력
나는 내 생각을 다른 사람에게 분명하고 조리 있게 말할 수 있다.,의사소통능력
앞의 문장과 뒤의 문장이 잘 이어질수 있도록 글을 쓸 수 있다.,의사소통능력
나는 누구의 도움 없이 내 의견을 스스로 말한다.,의사소통능력
우리 사회는 변화와 개혁을 추구하는 사람들이 더 필요하다.,"진보성, 자립성"
예전부터 내려오는 전통이 *이치에 맞지 않으면 따르지 않는다.,"진보성, 자립성"
전통을 지키기보다 시대에 맞게 고쳐 나가야 한다.,"진보성, 자립성"
국가에서 발표한 내용은 거의 믿어도 좋다고 생각한다.,"진보성, 자립성"
부모님의 말씀은 항상 옳다.,"진보성, 자립성"
내 아이는 성적 올리는 것을 많이 힘들어 한다.,"자아강도, 학습곤란"
나는 책을 잘 못 읽는다.,학습곤란
학교 가기 싫다.,"학습곤란, 비행"
내 아이는 산수(수학)를 꽤 잘한다.,"자아강도, 학습곤란"
내 아이는 가끔 말하는데 문제가 있다.,학습곤란
나는 사람들의 이름을 잘 기억하는 편이다.,"온정성, 외향성"
왜 친구를 사귀어야 하는지 모르겠다.,"온정성, 외향성"
친구가 없어도 괜찮다.,"온정성, 외향성"
사람들이 적고 조용한 곳보다 사람들이 많고 떠들썩한 곳에서 살고 싶다.,"온정성, 외향성"
모임에 나가느니 집에서 그림이나 그리겠다.,"온정성, 외향성"
나는 성격은 좋은데 좀 덜렁거린다는 말을 듣는다.,"도덕성, 자립성, 초자아강도"
꼼꼼함과 성실함을 필요로 하는 일을 좋아한다.,"도덕성, 자립성, 초자아강도"
나는 좀 덜렁대는 편이다.,"도덕성, 자립성, 초자아강도"
어려운 상황에 대비하여 미리미리 계획하고 준비한다.,"도덕성, 자립성, 초자아강도"
한 가지 일에 끝까지 열심히 하는 편이다.,"도덕성, 자립성, 초자아강도"
모임에 나가면 비교적 사람들 앞에 나서는 편이다.,"대담성, 외향성, 불안성, 자립성"
어떤 모임에도 쉽게 어울리는 편이다.,"대담성, 외향성, 불안성, 자립성"
