Unnamed: 0,question,type,keywords
0,나는 내 생각을 다른 사람들에게 설명하는 것이 쉽다.,다중지능검사,"질문전략, 탐색하는, 보거나, 때문, 반응할, 리더십, 이론, 독서, 해냅니다, 내향적"
1,막막함,자기조절학습검사,"인테리어, 어려울, 자전거, 스트레스, 말로, 대한, 외국어, 다시, 탐색하는, 믿고"
2,나는 노래 부르는 것을 좋아한다.,다중지능검사,"비언어적, 학습, 가려고, 해결할, 반응할, 해결하는, 성향, 능력, 의견, 노래하기"
3,기분이 좋지 않으면 감정에 휘말려 책이 눈에 들어오지 않는다.,자기조절학습검사,"없으나, 반응하는, 정서, 세계, 대화, 반응할, 세계, 댄스, 자전거, 필요"
4,노래를 잘한다. ,진로발달검사,"정서조절, 미용, 다양한, 기존, 공부, 건강, 가치, 드러나지, 주의, 공감하면서도"
5,나는 다른 아이들에 비해 몸놀림이나 손놀림이 좋다는 말을 많이 듣는다.,다중지능검사,"해내기, 아닌지, 조각, 과학적, 쓰기, 헬스, 자기주도적, 편안한, 듣기, 많고"
6,사물을 잘 관찰하고 기록한다.,진로발달검사,"듣기, 시를, 있고, 거부감, 야외체험학습, 영화, 상징, 배낭여행, 헬스, 불편함을"
7,도전하고 성취감을 느끼는 것이 좋다.,자기조절학습검사,"상황, 사진, 어려울, 평균, 합니다, 소셜미디어, 시를, 스피드, 상태, 사용하기"
8,"부족하다고 느껴질 때, “좌절할 시간에 공부를 더하자”라는 생각을 가져본다.",자기조절학습검사,"운동, 끝내지, 탐색하는, 중요하게, 도움, 지각하는, 비언어적, 다양한, 신체교육, 자연학습"
9,중요한 숙제가 있어도 자꾸 미루게 된다.,자기조절학습검사,"패션, 상황, 일반적, 인내심, 동기유발, 해주는, 제스처, 유형화, 정서지능, 펫케어"
10,다른 사람의 감정을 상하게 한 적이 없다.,자기조절학습검사,"논리적, 않는, 통해, 예민하고, 관계지각, 사람들, 쓰기, 노래하기, 좋아합니다, 현실적"
11,딸은 엄마보다 나이가 많다.,자기조절학습검사,"통해, 캠핑, 내고, 대처하지, 삼단논법, 혹은, 신체언어, 있음에도, 바둑, 상징"
12,나는 능력이 부족하다고 느껴지더라도 “좌절할 시간에 공부를 더하자”라고 생각한다.,자기조절학습검사,"자동차, 때문, 내용, 쇼핑, 일반적, 세계, 상상력, 평균, 어떻게, 헬스"
13,"나는 인라인 스케이트, 자전거 같은 것을 빨리 배우고 즐겨 탄다.",다중지능검사,"작은, 상태, 작은, 삼단논법, 협동적, 있고, 일상생활, 능력, 긍정적, 학습하기"
14,나는 수업시간에 받은 프린트물을 잘 정리해놓는다.,자기조절학습검사,"사고, 공부하기, 정서조절, 스터디, 상태, 자동차, 정서조절, 직접, 필요, 수집"
15,나는 내 고민을 부모님에게 솔직히 털어놓는 편이다.  ,진로발달검사,"기분, 스터디, 여행, 대처하지, 있고, 민감해, 주의, 꼼꼼하고, 스터디, 끝내지"
16,공부에 집중할 수 있도록 주변 환경을 구성한다.,자기조절학습검사,"동물, 사고, 악기연주하기, 않는, 사랑, 공감하면서도, 연산, 저널, 합니다, 도식"
17,나는 주변 사람들이 정해준 대로 공부하는 것이 편하다.  ,진로발달검사,"동기유발, 체험학습, 어떻게, 신체, 메타, 해내기, 생각하며, 받아들이기, 운동, 학습내용"
18,나는 공부한 만큼 성적이 나오지 않아도 쉽게 좌절하지 않는다.,자기조절학습검사,"어떻게, 사용하기, 상태, 상태, 만들어, 세세한, 상황, 도식, 야외체험학습, 숫자"
19,회사에서 직원을 선발하는 업무를 한다. ,진로발달검사,"관습적, 자기주장, 창의적, 조용한, 다시, 표현할, 자료, 항목, 공감하면서도, 부끄럼"
20,나는 음악시간을 좋아한다.,다중지능검사,"경험들, 스피드, 내고, 정서조절, 작은, 만들어, 드러나지, 민감해, 추론, 예민하고"
21,나는 내가 어떤 것에 대해서 굳게 믿을 때는 그것을 위해서 최선의 노력을 다한다.,다중지능검사,"표현할, 현장학습, 귀납적, 항목, 방법, 해결할, 패턴, 만지거나, 부끄럼, 가던"
22,나의 적성과 소질에 맞는 직업이 무엇일지 살펴보곤 한다.  ,진로발달검사,"일상생활, 전신운동기능, 어려울, 강점, 현장학습, 공부하기, 개인사를, 반응하는, 위해, 그룹"
23,노래를 잘한다. ,진로발달검사,"작은, 비언어적, 만화, 동기유발, 도움, 상징, 현실적, 있어, 삼단논법, 단서"
24,나는 시험이 공지되면 공부계획표를 만들어 본다.,자기조절학습검사,"없으나, 거부감, 추려, 판단하는, 건강, 자기주장, 말로, 많고, 시간환경관리, 해석하는"
25,나의 적성과 소질에 맞는 직업이 무엇일지 살펴보곤 한다.  ,진로발달검사,"자기주도적, 형태, 조각, 이론, 강점, 일반적, 시각, 내향적, 단위, 지각하는"
26,외딴 곳보다는 사람이 북적거리는 곳에 살고 싶다.,다요인검사,"좋아합니다, 초인, 이론, 방법, 사교적, 조각, 기존, 계획적, 게임, 불안정하여"
27,자부심,자기조절학습검사,"인테리어, 항목, 유추, 학습내용, 도움, 자전거, 상호관계, 기하학적, 정서지능, 현장학습"
28,"식사, 수면, 운동 등을 비교적 규칙적으로 하는 편이다.",자기조절학습검사,"골프, 자기계발, 활용하기, 학습, 수집, 있으며, 지각하는, 쓰기, 제스처, 맞게"
29,시험을 치기도 전에 시험을 망칠 것 같은 생각이 자꾸 든다.,자기조절학습검사,"가설설정, 쇼핑, 경우일, 관찰, 받으면, 작은, 학습, 시관환경관리, 자원활용, 유추"
30,뭔지 모르게 늘 불안하다.,다요인검사,"능력, 가려고, 좋아하고, 초인, 크기, 아는, 사고, 규칙적, 대한, 크기"
31,축제나 파티에는 별로 가고 싶지 않다.,다요인검사,"내용, 댄스, 사교적, 합니다, 불편함을, 시각, 곡선, 협동적, 자기, 공감하면서도"
32,나는 악기(피아노나 바이올린 등)를 배우는 것이 재미있다.,다중지능검사,"상황, 배낭여행, 반응할, 동정심, 취미생활, 스터디, 이해하기, 도표, 안정적, 디지털"
33,내 장래희망과 비슷한 직업에 대해서도 관심이 많다.  ,진로발달검사,"대화, 반응하는, 외국어, 반응할, 드러나지, 다시, 헬스, 외국어, 요리, 기하학적"
34,내 장래희망과 비슷한 직업에 대해서도 관심이 많다.  ,진로발달검사,"필요, 실천전략, 미용, 집단적, 학습하기, 듣기, 학문, 의견, 신체언어, 기민성"
35,물리학자 : 자연현상을 관찰·실험하여 물리학의 원리·기법을 연구·개발하는 사람,진로발달검사,"자기계발, 위해, 독서, 관찰, 관심, 내고, 믿고, 민감해, 사랑, 힘들어합니다"
36,나는 중요한 내용에 밑줄을 긋거나 표시하면서 공부한다.,자기조절학습검사,"판단하는, 학습하기, 계획적, 음악, 반응할, 게임, 구체적, 가기, 유형화, 코딩"
37,나는 매사에 빈틈이 없는 편이다.,다요인검사,"댄스, 그래프, 탐색하는, 해냅니다, 학습하기, 저널, 자기, 수학, 자료, 정서지능"
38,중요한 숙제가 있어도 자꾸 미루게 된다.,자기조절학습검사,"그래프, 정서조절, 동물, 내고, 나타나는, 질문전략, 도움, 기민성;, 드러나지, 정서조절"
39,공부하기 싫어질 때 나보다 더 좋은 성적을 받을 친구들을 떠올려 본다.,자기조절학습검사,"예민하고, 있을, 건강, 동기유발, 코딩, 펫케어, 공부하기, 말로, 평균, 정서지능"
40,어려운 사람을 보살피는 일을 한다. ,진로발달검사,"칭찬, 지식, 아는, 추론, 사랑, 말로, 양보, 신체, 동물, 논리적"
41,관심 직업의 일터와 하루 일과에 대해 찾아본 적이 있다. ,진로발달검사,"소리, 먼저, 시를, 듣지만, 도움, 맞게, 위해, 논리, 순차적, 분류하기"
42,나는 주변 사람들이 정해준 대로 공부하는 것이 편하다.  ,진로발달검사,"다른, 상태, 체험학습, 만들어, 증명, 기술, 해석하는, 즐김, 세계, 가설설정"
43,나는 학교에서 배운 내용들을 잘 이해하는 편이다.,자기조절학습검사,"어울릴, 조성하, 추려, 숫자, 여행, 가던, 질문전략, 삼단논법, 반응하는, 등산"
44,나는 다소 비현실적인 사람인 것 같다.,다요인검사,"겪고, 동정심, 범주, 표현할, 사진, 활동, 등산, 친구들, 봉사, 어려움"
45,문제를 풀면서 공부한 내용을 어느 정도 이해했는지 확인한다.,자기조절학습검사,"좋아합니다, 과학적, 경험들, 연역적, 스피드, 드러나지, 거부감, 범주, 성향, 공예"
46,비서 : 경영자나 관리자가 업무에 전념할 수 있도록 도움을 주는 일을 하는 사람 ,진로발달검사,"스피드, 드라마, 디자인, 사람들, 받으며, 비판적이거나, 깊게, 환경, 합니다, 외국어"
47,자세히 할 부분과 그렇지 않은 부분을 생각하고 공부를 시작한다.,자기조절학습검사,"사람들, 야외체험학습, 과학, 악기연주하기, 적응하고, 많고, 기능, 에너지, 세세한, 패션"
48,내 꿈을 이루기 위한 학업계획을 세워 나가고 있다.,진로발달검사,"해석하는, 얼굴표정, 분류, 게임, 발달된, 통해, 대한, 깊게, 범주, 겪고"
49,군인 : 일정기간 훈련을 받고 국가를 지키는 일을 하는 사람 ,진로발달검사,"그래프, 여기는, 가기, 함께, 해주는, 불편, 골프, 여기는, 그림, 현장학습"
50,"나는 이해되지 않는 부분이나 과목은 인터넷 강의, 학원, 과외 등을 찾아본다.",자기조절학습검사,"인내심, 단서, 판단하는, 요가, 디지털, 식물, 수학적, 말로, 불편함이, 경험하기를"
51,나는 다른 사람들로부터 말을 잘한다는 소리를 자주 듣는다.,다중지능검사,"사람, 듣지만, 진로, 리더십, 유추, 겪을, 목표, 불편, 서핑, 기존"
52,외딴 곳보다는 사람이 북적거리는 곳에 살고 싶다.,다요인검사,"강점, 탐색하는, 상태, 도움, 상태, 자기존중감, 공부하기, 추론, 스트레스, 맡기는"
53,나는 다른 사람이 이야기하는 것의 요점을 잘 파악한다.,다중지능검사,"해내기, 바둑, 읽기, 유형화, 자신, 있어, 인식, 대한, 표현할, 야외자연활동"
54,학교에서 배우는 내용들이 언젠가는 쓸모가 있을 것이다.,자기조절학습검사,"없고, 대한, 사고, 반응하는, 생각, 위해, 흐름, 공부, 보입니다, 불편함이"
55,나는 공부하기 싫어질 때 미래를 생각하며 정신을 차리려고 노력한다.,자기조절학습검사,"말로, 구체적, 리더십, 상호관계, 자료, 안정상, 공부, 골프, 자기존중감, 동작"
56,나는 게임을 하면 숙제를 할 시간이 없다는 것을 알면서도 게임을 계속 한다.,자기조절학습검사,"펫케어, 있으며, 해냅니다, 편안히, 시간환경관리, 분류하기, 강점, 전신운동기능, 호기심, 해결할"
57,나는 다양한 악기의 소리를 잘 구분해낸다.,다중지능검사,"타고, 신체언어, 현장학습, 신체, 듣지만, 추상적, 스포츠, 글쓰기, 곡선, 안정적"
58,모임에서는 얘기를 하기보다는 듣는 쪽이다.,다요인검사,"릴레이, 기분, 요리, 시뮬레이션, 받으며, 유형화, 동작, 말하기, 직접, 편이"
59,나는 친구들에게 동화나 만화 이야기를 재미있게 해 줄 수 있다.,다중지능검사,"분류하기, 아니며, 대한, 판단하는, 그림, 때문, 헬스, 건강, 보입니다, 악기연주하기"
60,시험을 치기도 전에 시험을 망칠 것 같은 생각이 자꾸 든다.,자기조절학습검사,"노래하기, 적응하고, 수집, 개인사를, 안온하게, 뚜렷한, 게임, 학습하기, 자주, 신체"
61,나는 야외에 나가면 동물이나 식물에 관심이 많다.,다중지능검사,"질문전략, 야외체험학습, 함께, 나타나는, 학습, 리더십, 구조, 해내기, 인식, 해주는"
